SampleID	Species	Latitude	Longitude	Altitude_m	Datum	Date	Seed	Collectors	Location	Comments	Trip_Comments
NSW0079	Eucalyptus melliodora	-32.13996582	151.1047273	275.301147	WGS84	30-AUG-19 6:12:28PM	Y	Helen Bothwell	"Go back to Upper Rouchel Rd, take Davis Ck. dirt rd; raining hard now, flowering, good Emel"		Wet and rainy all day today
NSW0082	Eucalyptus melliodora	-32.04688839	150.6718526	262.563721	WGS84	31-AUG-19 11:49:29AM	Y	Helen Bothwell	"Continue on Bunnan Rd, turn N into Cuan gate, tree right @ entrance"	"Big old Emel, fruits quite large, but trunk looks good, young leaves ovate, mature leaves smaller/thin"	
NSW0088	Eucalyptus melliodora	-31.78305692	150.9139098	436.320801	WGS84	31-AUG-19 3:14:53PM	Y	Helen Bothwell	N on A15 NE on Haydons Land	"Big old Emel, lots of 5-valved fruits, just finishing flowering, heavy w umbels"	
NSW0091	Eucalyptus melliodora	-31.73216192	150.6693047	427.90918	WGS84	31-AUG-19 4:20:32PM	Y	Helen Bothwell	S on Warrah Creek Rd 	"TONS of fruit, mature/reproductive leaves v thin and longer, 5-valved fruits, just finishing flowering, heavy w umbels, BIG old Emel"	
NSW0093	Eucalyptus melliodora	-31.76386965	150.6680448	464.679443	WGS84	31-AUG-19 4:49:09PM	Y	Helen Bothwell	S on Warrah Creek Rd 	"Redder/yellower bark, 5-valved fruits bigger and plumper, good Emel, leaves more blue-grey and bigger, not as frondy, lots of fruit, flowering"	
NSW0096	Eucalyptus melliodora	-31.15869398	151.0484082	422.62207	WGS84	01-SEP-19 9:47:13AM	Y	Helen Bothwell	"S from Tamworth on Nundle Rd, N on Martins Lane"	"Right along roadside by house, potentially planted, heavy w flowers/umbels/bees (melliodora!), only 2 fruits but big and plump 5-valved, good Emel bark, ovate juv leaves, medium aged"	Finally not raining!
NSW0097	Eucalyptus melliodora	-31.23102997	151.1084895	451.221069	WGS84	01-SEP-19 10:06:47AM	Y	Helen Bothwell	S down Dungowan-Woolomin Rd	"Possibly planted along roadside row along dirt rd, but OLD, big plump 5-valved fruits, umbels of 7, nurse tree to Brachychiton"	
NSW0098	Eucalyptus melliodora	-31.41448109	151.1365435	560.810547	WGS84	01-SEP-19 11:19:57AM	Y	Helen Bothwell	S down Fossikers Way/Bowling Alley Pt.	"HUGE old Emel, good ovate juv leaves, 5-valved fruits"	"Again, most ALA Emel through here do not exist (either mortality or mis-ID)"
NSW0101	Eucalyptus melliodora	-31.44565078	151.0999205	643.723633	WGS84	01-SEP-19 12:00:06PM	Y	Helen Bothwell	S on Nundle Rd	"TONS of plump 5-valved fruit, loaded w flowers and bees, classic Emel bark, older"	
NSW0105	Eucalyptus melliodora	-31.4757414	150.9396289	616.085938	WGS84	01-SEP-19 12:59:53PM	Y	Helen Bothwell	S on Nundle Rd	"All by itself, open pastures all around, LOTS of 4/5-valved fruits"	
NSW0106	Eucalyptus sideroxylon	-31.3407138	150.8736165	490.634766	WGS84	01-SEP-19 2:01:36PM	Y	Helen Bothwell	"N on A15, W on Gowrie Rd, turn into side entrance"	LOTS of big 5-valved fruits 	
NSW0108	Eucalyptus melliodora	-31.37221894	150.8601643	554.321777	WGS84	01-SEP-19 2:19:52PM	Y	Helen Bothwell	S down Top Gowrie Rd.	"HUGE old Emel, plenty of 5 but also a few 6-valved fruits, "	
NSW0113	Eucalyptus melliodora	-31.25033283	150.8299387	460.834229	WGS84	01-SEP-19 3:43:40PM	Y	Helen Bothwell		"Mid-aged tree, lots of 5/6-valved fruits"	
NSW0114	Eucalyptus melliodora	-31.24584189	150.6761998	389.456787	WGS84	01-SEP-19 4:39:43PM	Y	Helen Bothwell	"Bulunbulun Rd, then Piallaway Rd N of Currabubula"	"Big old Emel, lots of 5-valved fruits, just done flowering"	
NSW0116	Eucalyptus melliodora	-31.14944824	150.5618832	311.350342	WGS84	01-SEP-19 5:18:03PM	Y	Helen Bothwell		"Monster old Emel, heavy w flowers, lots of fruit and bees, big plump 5-valved fruits"	
NSW0118	Eucalyptus melliodora	-31.16732567	150.8561391	400.511963	WGS84	02-SEP-19 10:11:04AM	Y	Helen Bothwell	S of Tamworth take Warral-Duri Rd.	"Good Emel, plump 5-valved fruit, mid-aged"	
NSW0120	Eucalyptus melliodora	-31.19051999	150.8392117	438.003052	WGS84	02-SEP-19 10:31:16AM	Y	Helen Bothwell	S of Tamworth along Warral-Duri Rd.	"Good Emel, lots of fruit, just done flowering"	
NSW0128_1	Eucalyptus melliodora	-31.45970875	150.5936909	348.120605	WGS84	02-SEP-19 1:43:05PM	Y	Helen Bothwell	"S on B51, N side of rd"	"BIG old tree, fruit smallish 5-valved, flowering branch leaves v thin and frondy (like willow), bark looks good, axial umbels"	
NSW0128_2	Eucalyptus melliodora	-31.45970875	150.5936909	348.120605	WGS84	02-SEP-19 1:43:05PM	Y	Helen Bothwell	"S on B51, N side of rd"	"BIG old tree, fruit smallish 5-valved, flowering branch leaves v thin and frondy (like willow), bark looks good, axial umbels"	
NSW0129	Eucalyptus melliodora	-31.42181005	150.4888877	325.289307	WGS84	02-SEP-19 2:07:01PM	Y	Helen Bothwell	NW on Coonabarabran Rd then little dirt side rd parallel HWY	"Plenty of seed and good Emel plump 5-valved fruits, juv leaves ovate, mature leaves not frondy"	
NSW0131	Eucalyptus melliodora	-31.4067932	150.2283943	321.684448	WGS84	02-SEP-19 3:38:12PM	Y	Helen Bothwell	"Just W of Spring Ridge, go S down Wilmotts Rd"	Good Emel fruits	
NSW0137	Eucalyptus melliodora	-31.40040787	149.7085042	421.901123	WGS84	02-SEP-19 6:00:56PM	Y	Helen Bothwell	Along Coonabarabran Rd	"Back to open woodland, Emel good plump fruits 4/5-valved, bottom bark good but top very white/smooth, leaves frondy, hyb w red box? All around here trees look a bit more red boxy. This was one of the few trees that looked more Emel; in stand of Supple HL210-219"	"Open farmland after this, lots of trees in this area w rougher, darker/redder bottom bark and white smooth upper"
NSW0142	Eucalyptus melliodora	-31.2737356	149.3367654	510.822388	WGS84	03-SEP-19 12:45:30PM	Y	Helen Bothwell	E down River Rd	"Good Emel, wavy bark, plenty of fruit larger plump 5-valved, leaves gray-green and larger typical ovate, flowering"	"Most of the other woolier barked, thinner greener smaller leaved, smaller-fruited trees through here NOT flowering"
NSW0148	Eucalyptus melliodora	-31.58507117	149.3990021	413.009033	WGS84	03-SEP-19 3:33:23PM	Y	Helen Bothwell	Warrumbungle Way to Coolah	"Some seed, nice plump and 5-valved, typical Emel"	
NSW0153	Eucalyptus melliodora	-32.07823453	150.241811	375.758179	WGS84	03-SEP-19 6:25:44PM	Y	Helen Bothwell	Idaville Rd N of B84	"Good Emel, lots of fruit, nice plump 4/5-valved fruits, thin frondy leaves, but this seems common on flowering/fruiting racemes"	
NSW0159	Eucalyptus melliodora	-31.96406588	150.4233439	362.780396	WGS84	04-SEP-19 11:09:03AM	Y	Helen Bothwell	Continuing N on Merriwa-Murrurundi Rd	Good Emel w fruit	
NSW0165	Eucalyptus melliodora	-32.13964513	150.3608248	270.734985	WGS84	04-SEP-19 12:36:46PM	Y	Helen Bothwell	At reststop in Merriwa	"Lots of fruit, possibly/likely planted"	"On drive home, took Bylong Valley Way from Sandy Hollow to Kandos. ALA lists numerous E. sideroxylon through here, but all the trees I checked were the thinner-leaved, smaller-fruited, grayer ironbark. I saw one tree that may have been sider, but it was innaccessible. Many of these through here appear to be missidentified. It is more mountainous terrain than I typically have found sider in. These higher elevations almost always turn out to be the small-fruited ironbark."
NSW0166	Eucalyptus melliodora	-33.23415337	148.850199	541.10376	WGS84	09-SEP-19 1:33:35PM	Y	Helen Bothwell	W of Orange just E of Boree on B81	"Big old Emel, lots of fruit"	
NSW0170	Eucalyptus sideroxylon	-32.1584081	148.6588052	334.902466	WGS84	09-SEP-19 5:23:19PM	Y	Helen Bothwell	"N of Dubbo on A39, N on Moriguy Rd, E on Mendooran Rd"	Esid with fruit	
NSW0172	Eucalyptus sideroxylon	-32.05224576	148.5716864	298.132324	WGS84	11-SEP-19 10:38:46AM	F	Helen Bothwell	"A39 N of Dubbo, Goodwin Lane E"	"Esid, younger, only 5 fruits"	
NSW0174	Eucalyptus melliodora	-31.75691092	148.7542546	306.784058	WGS84	11-SEP-19 1:31:21PM	Y	Helen Bothwell	"From Gilgandra, E on B55"	"Probably Emel, but fruits rather small 5-valved, axial umbels, plenty of fruit"	
NSW0175	Eucalyptus melliodora	-31.82180948	148.8683249	319.521484	WGS84	11-SEP-19 2:02:58PM	Y	Helen Bothwell	"Continuing along B55, N side of rd, back down trail ~100'"	"Emel? But again v small fruits, 5-valved, v thin and narrow reproductive leaves, axial umbels"	
NSW0180	Eucalyptus melliodora	-31.8304601	149.1688524	359.175537	WGS84	11-SEP-19 3:51:25PM	Y	Helen Bothwell	B55 E towards Dunedoo	"Good sized fruits but most 4-valved, good Emel bark, axial umbels and juv leaves"	
NSW0181	Eucalyptus melliodora	-31.96752492	149.3376142	403.155518	WGS84	11-SEP-19 4:19:19PM	Y	Helen Bothwell	B55 E towards Dunedoo	"Perfect Emel, loads of plump 4/5-valved fruit, good juv leaves"	
NSW0185	Eucalyptus sideroxylon	-32.11150758	149.2312073	394.984375	WGS84	11-SEP-19 5:16:54PM	Y	Helen Bothwell	S down Spring Ridge Rd	"Good Esid, plenty of fruit"	
NSW0186	Eucalyptus sideroxylon	-32.15090018	149.232789	391.619751	WGS84	11-SEP-19 5:35:02PM	N	Helen Bothwell	S down Spring Ridge Rd	"Esid? Leaves and black-red bark good, drooping inflorescence, white tinged pink flowers, no fruit"	
NSW0188	Eucalyptus melliodora	-32.18741921	149.2692459	399.791016	WGS84	11-SEP-19 5:57:22PM	Y	Helen Bothwell	S down Spring Ridge Rd	"TONS of 4/5 fruit, big old Emel"	
NSW0189	Eucalyptus sideroxylon 	-32.19448566	149.2754635	404.837769	WGS84	11-SEP-19 6:12:13PM	Y	Helen Bothwell	S down Spring Ridge Rd	"Good Esid, fruit, just finishing flowering white"	
NSW0190	Eucalyptus sideroxylon 	-32.32507914	148.7661722	402.194214	WGS84	12-SEP-19 9:34:36AM	Y	Helen Bothwell	"S from Dubbo on A23, @ Wongarbon take Beni St. N"	Esid with lots of fruit and flowers	
NSW0191	Eucalyptus sideroxylon	-32.30811099	148.775933	412.288086	WGS84	12-SEP-19 9:51:43AM	N	Helen Bothwell	Continuing on Beni St.	"Esid, big tall older tree, no fruit, but flowers and umbels characteristicaly drooping, immature cups and leaves look good, bark also has the telling red-black tinge"	
NSW0197	Eucalyptus sideroxylon	-32.28249421	148.5633969	332.258911	WGS84	12-SEP-19 2:02:21PM	N	Helen Bothwell	S on A39 out of Dubbo	"Esid w green fruit, look like just finished flowering, pinkish-orange dried flowers on ground below tree"	
NSW0198	Eucalyptus sideroxylon 	-32.46974886	148.3316664	380.084106	WGS84	12-SEP-19 2:51:12PM	Y	Helen Bothwell	SE side of A39	Esid w lots of white flowers and lots of good fruit	
NSW0199	Eucalyptus sideroxylon 	-32.48218727	148.3199077	348.36084	WGS84	12-SEP-19 3:01:15PM	Y	Helen Bothwell	SE side of A39	"Big tall old Esid, lots of fruit and white flowers, dried flowers here are also pink-orange tinged but white when alive"	
NSW0200	Eucalyptus sideroxylon	-32.51479162	148.2882391	323.607056	WGS84	12-SEP-19 3:15:54PM	F	Helen Bothwell	SE side of A40	"Big tall old Esid, few fruits"	
NSW0201	Eucalyptus sideroxylon 	-32.3788566	148.2295863	282.510986	WGS84	12-SEP-19 3:42:28PM	Y	Helen Bothwell	"N on Tomingley-Narromine Rd, W side"	"Esid, flowering white, cups still large but a bit smaller than farther E, getting very arid now, lots of fruit"	
NSW0202	Eucalyptus sideroxylon 	-32.36638131	148.2309991	271.696289	WGS84	12-SEP-19 3:52:23PM	Y	Helen Bothwell	N on Tomingley-Narromine Rd	Esid w plenty of fruit	
NSW0205	Eucalyptus melliodora	-32.48684258	147.9255537	221.948486	WGS84	12-SEP-19 6:25:52PM	Y	Helen Bothwell	Tullamore-Narromine Rd	"Very tall old Emel, perfect 5-valved fruits, good juv leaves and bark. FINALLY! Most ALA records in this area are either dead or misidentified"	
NSW0206	Eucalyptus melliodora	-32.46047236	147.8798483	220.50647	WGS84	12-SEP-19 6:48:40PM	Y	Helen Bothwell	W on Terowie Rd	"Good Emel, perfect leaves, lots of good 5-valved fruit"	"More ALA records along this road - likely tapped into a good little stand, but got too dark to sample more"
NSW0207_1	Eucalyptus melliodora	-32.87453963	148.1952447	300.776001	WGS84	13-SEP-19 10:08:05AM	Y	Helen Bothwell	"S of Peak Hill, The Sandy Lane W off A39, just before Mickibri Rd, N side"	"Big tall Emel, TONS of good 5-valved fruit, 10-15 Emel lining road here"	ALAM5824 - absent (dead and/or cleared)
NSW0207_2	Eucalyptus melliodora	-32.87453963	148.1952447	300.776001	WGS84	13-SEP-19 10:08:05AM	Y	Helen Bothwell	"S of Peak Hill, The Sandy Lane W off A39, just before Mickibri Rd, N side"	"Big tall Emel, TONS of good 5-valved fruit, 10-15 Emel lining road here"	ALAM5824 - absent (dead and/or cleared)
NSW0213	Eucalyptus melliodora	-33.00604667	148.1591849	359.65625	WGS84	13-SEP-19 11:39:17AM	Y	Helen Bothwell	S down Plowman Ln	"Emel, lots of fruit"	
NSW0220	Eucalyptus sideroxylon 	-33.01505	147.9168203	319.761841	WGS84	13-SEP-19 2:29:14PM	Y	Helen Bothwell	N on Middle Trundle Rd off Condobolin Rd	"Esid, fruit"	
NSW0221	Eucalyptus sideroxylon 	-32.97080546	147.9439458	326.010254	WGS84	13-SEP-19 2:49:50PM	Y	Helen Bothwell	Back on Trundle Rd	Esid w fruit	
NSW0222	Eucalyptus sideroxylon 	-32.94891402	147.8816904	299.574219	WGS84	13-SEP-19 3:11:23PM	Y	Helen Bothwell	Corner of Back Trundle and Blow Creek Rds	"Esid, lots of fruit"	
NSW0223	Eucalyptus melliodora	-32.88425309	147.6891232	262.08313	WGS84	13-SEP-19 3:42:12PM	Y	Helen Bothwell	"N on Trundle-Tullamore Rd, W side of rd"	"Emel? Juv leaves and axial umbels perfect, but fruits a bit small 5-valved, lots of fruit"	
NSW0224	Eucalyptus melliodora	-32.67660854	147.5864269	255.113647	WGS84	13-SEP-19 4:09:37PM	Y	Helen Bothwell	"N on Trundle-Tullamore Rd, W side of rd"	"TONS of good 5-valved fruit, Emel"	
NSW0225	Eucalyptus sideroxylon 	-32.60118817	147.551004	246.942505	WGS84	13-SEP-19 4:41:35PM	Y	Helen Bothwell	Four Corners Tullamo Rd	"Esid, lots of fruit, but seem a bit smaller and more barrel-shaped, some typical big tough leaves but also some quite small narrow ones, lots of variation in both fruits and leaves, umbels quite small too, a bit odd"	
NSW0226	Eucalyptus sideroxylon 	-32.56866672	147.5501287	268.572021	WGS84	13-SEP-19 4:58:11PM	Y	Helen Bothwell	N on Tullamore-Nyngan Rd	"Esid, lots of fruit"	
NSW0228	Eucalyptus sideroxylon 	-32.48178863	147.5559789	272.657593	WGS84	13-SEP-19 5:26:09PM	Y	Helen Bothwell	N on Tullamore-Nyngan Rd	"Esid, tons of fruit, just finishing flowering"	
NSW0229	Eucalyptus sideroxylon 	-32.44752567	147.5309473	275.301147	WGS84	13-SEP-19 5:35:27PM	Y	Helen Bothwell	N on Tullamore-Nyngan Rd	"Esid, tons of fruit, just finishing flowering"	
NSW0230	Eucalyptus sideroxylon 	-32.32536161	147.4490555	244.779541	WGS84	13-SEP-19 5:55:39PM	Y	Helen Bothwell	N on Tullamore-Nyngan Rd	"Esid, tons of fruit, just finishing flowering"	
NSW0231	Eucalyptus sideroxylon 	-32.39632113	147.4536348	258.718506	WGS84	13-SEP-19 6:13:04PM	Y	Helen Bothwell	W down Melrose Rd	"Esid, lots of fruit"	
NSW0232	Eucalyptus sideroxylon 	-32.40859215	147.4304442	279.386719	WGS84	13-SEP-19 6:21:25PM	Y	Helen Bothwell	W down Melrose Rd	"Esid, lots of fruit"	
NSW0234	Eucalyptus sideroxylon 	-32.71063068	146.9679654	274.099487	WGS84	14-SEP-19 9:28:42AM	Y	Helen Bothwell	N out of Condobolin	"Younger-mid aged Esid, flowering, lots of fruit"	
NSW0235	Eucalyptus sideroxylon 	-32.61420275	147.0156612	308.226074	WGS84	14-SEP-19 9:53:08AM	Y	Helen Bothwell	Albert Rd E (Melrose-Trangie Rd)		NSW0236-NSW0247 envelopes nowhere to be found ??
NSW0249	Eucalyptus sideroxylon 	-32.53290567	147.4559476	298.372559	WGS84	14-SEP-19 11:55:01AM	Y	Helen Bothwell	S on Kerriwah-Sarsfield Rd.	"Big old Esid, many fruits, flowering"	
NSW0251	Eucalyptus sideroxylon 	-32.55682116	147.4776511	289.480469	WGS84	14-SEP-19 12:11:39PM	Y	Helen Bothwell	S on Kerriwah-Sarsfield Rd.	"Still good stand continuing, lots of fruit"	
NSW0252	Eucalyptus sideroxylon 	-32.57087342	147.4901369	288.519287	WGS84	14-SEP-19 12:23:03PM	Y	Helen Bothwell	S on Kerriwah-Sarsfield Rd.	"Esid, fruit"	
NSW0254	Eucalyptus sideroxylon 	-32.59760558	147.5158107	267.370361	WGS84	14-SEP-19 12:37:23PM	Y	Helen Bothwell	S on Kerriwah-Sarsfield Rd.	"Esid, fruit"	
NSW0255	Eucalyptus sideroxylon	-32.66352514	147.4763455	276.502808	WGS84	14-SEP-19 1:12:48PM	F	Helen Bothwell	S on Condobolin Rd 	Just a few fruit	
NSW0256	Eucalyptus melliodora	-32.68483621	147.4719048	264.726685	WGS84	14-SEP-19 1:20:37PM	Y	Helen Bothwell	S on Condobolin Rd	Emel! Lots of good fruit	
NSW0257	Eucalyptus sideroxylon 	-32.81261858	147.4230573	319.521484	WGS84	14-SEP-19 1:47:08PM	Y	Helen Bothwell	"At Fifield take Wilmatha Rd W, Wilga Rd S"	"Esid, fruit"	
NSW0258	Eucalyptus sideroxylon 	-32.82673186	147.416004	323.607056	WGS84	14-SEP-19 1:56:37PM	Y	Helen Bothwell	Wilga Rd S	Some fruit	
NSW0259	Eucalyptus sideroxylon 	-32.84227928	147.4121246	312.071289	WGS84	14-SEP-19 2:12:36PM	Y	Helen Bothwell	Wilga Rd S	"Axial fruits rather small, but tons of Esid in the area"	
NSW0260_1	Eucalyptus sideroxylon 	-32.85297216	147.409622	317.839233	WGS84	14-SEP-19 2:19:10PM	Y	Helen Bothwell	Wilga Rd S	Lots of bigger fruits	
NSW0260_2	Eucalyptus sideroxylon 	-32.85297216	147.409622	317.839233	WGS84	14-SEP-19 2:19:10PM	Y	Helen Bothwell	Wilga Rd S	Lots of bigger fruits	
NSW0261	Eucalyptus sideroxylon 	-32.8671069	147.4070275	316.156982	WGS84	14-SEP-19 2:30:58PM	Y	Helen Bothwell	Wilga Rd S	Lots of bigger fruits	
NSW0263	Eucalyptus sideroxylon	-32.95312341	147.4140858	320.242432	WGS84	14-SEP-19 2:54:52PM	F	Helen Bothwell	S on Fifield Rd	Few fruits	
NSW0264	Eucalyptus sideroxylon 	-32.9657588	147.3860872	290.922485	WGS84	14-SEP-19 3:00:20PM	Y	Helen Bothwell	S on Fifield Rd	Esid fruit	
NSW0268	Eucalyptus melliodora	-33.39228242	147.558404	218.103149	WGS84	14-SEP-19 5:50:00PM	Y	Helen Bothwell		"ALAM4159 - good Emel, lots of good 5-valved fruits not barrel-shaped, in axial position only, leaves gray-green good juv"	
NSW0279	Eucalyptus melliodora	-33.47450646	148.7558038	409.884644	WGS84	15-SEP-19 1:36:57PM	Y	Helen Bothwell	S down Davy's Planis Rd out of Cudal	"Enormous old Emel, good fruit, axial umbels"	
NSW0287	Eucalyptus melliodora	-33.38362559	148.105996	245.981201	WGS84	15-SEP-19 5:18:07PM	Y	Helen Bothwell	Escort Way E out of Forbes	"Good plump Emel fruits, monster"	
NSW0288	Eucalyptus melliodora	-33.40575364	147.9803256	239.973022	WGS84	15-SEP-19 5:47:26PM	Y	Helen Bothwell	Escort Way E out of Forbes	"Big Emel, some fruit, just done flowering"	
NSW0293	Eucalyptus melliodora	-33.8361601	148.6472566	302.698608	WGS84	16-SEP-19 9:16:27AM	Y	Helen Bothwell	"W on B64 from Cowra, at pulloff S side of rd"	"Big old Emel, possibly planted? Many good 5-valved fruits"	
NSW0294	Eucalyptus sideroxylon	-33.91078846	148.4386255	465.640747	WGS84	16-SEP-19 9:37:21AM	N	Helen Bothwell	W on B64	"Younger Esid, leaves only"	
NSW0295	Eucalyptus sideroxylon 	-33.91635329	148.4289102	492.797852	WGS84	16-SEP-19 9:43:33AM	Y	Helen Bothwell	W on B64	"Esid, lots of fruit"	
NSW0296	Eucalyptus sideroxylon 	-33.9230713	148.4112073	506.49646	WGS84	16-SEP-19 9:54:36AM	Y	Helen Bothwell	W on B64	"Older Esid, fruit"	
NSW0297	Eucalyptus melliodora	-33.9340008	148.3936114	450.980713	WGS84	16-SEP-19 10:06:38AM	Y	Helen Bothwell	W on B64	"Emel, fruit"	
NSW0303	Eucalyptus sideroxylon 	-34.02354467	148.6794614	371.912964	WGS84	16-SEP-19 12:19:31PM	Y	Helen Bothwell	N on Sutherland Rd	"Esid, younger, a handful of good fruits"	
NSW0304	Eucalyptus sideroxylon 	-34.0200733	148.6736443	370.95166	WGS84	16-SEP-19 12:29:15PM	Y	Helen Bothwell	N on Sutherland Rd	"Esid, old tree, sampled younger growth on low limb, fruits on smaller side"	
NSW0305	Eucalyptus sideroxylon 	-34.01779451	148.6660446	378.64209	WGS84	16-SEP-19 12:37:30PM	Y	Helen Bothwell	N on Sutherland Rd	"Big older Esid, mature foliage, TONS of fruit"	
NSW0306	Eucalyptus sideroxylon 	-34.011464	148.6543079	377.921021	WGS84	16-SEP-19 12:45:01PM	Y	Helen Bothwell	N on Sutherland Rd	"Some fruit, good fairly continuous stand of Esid through here"	"E. albens is dominant through here, whereas E. microcarpa is dominant W of Forbes"
NSW0311	Eucalyptus melliodora	-34.23932545	148.4123409	398.348999	WGS84	16-SEP-19 2:40:39PM	Y	Helen Bothwell	W on Monteagle Stock Rte	"Perfect Emel, although fruit a bit on the small side"	
NSW0319	Eucalyptus melliodora	-34.34623553	148.6344898	566.818848	WGS84	16-SEP-19 4:56:56PM	Y	Helen Bothwell	Continuing SE on Geegalong Rd	"Good ol Emel, lots of plump fruit, axial, juv leaves ovate gray-green, perfect"	
NSW0322	Eucalyptus melliodora	-34.44177163	148.7590894	493.278442	WGS84	16-SEP-19 5:34:46PM	Y	Helen Bothwell	Rye Park Rd E from Boorowa	"Lots of nice plump fruit, lower leaves margins area really eaten up "	
NSW0325	Eucalyptus melliodora	-35.10194927	149.329333	686.742188	WGS84	04-OCT-19 12:38:42PM	Y	Helen Bothwell & Margaret Mackinnon	E on Bullinah Cres.	"Lots of good plump 5-valved fruits;  good leaves, bark and axial inflor. "	
